Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2017,1,5-24 yr,0,0,258,5,2,22,13,3,0
2017,2,5-24 yr,0,0,458,9,2,22,24,6,0
2017,3,5-24 yr,0,0,585,10,2,37,35,7,0
2017,4,5-24 yr,0,0,739,4,10,37,43,13,0
2017,5,5-24 yr,0,0,916,11,5,56,73,26,0
2017,6,5-24 yr,0,0,893,21,2,67,104,20,0
2017,7,5-24 yr,0,0,715,16,6,89,92,38,0
2017,8,5-24 yr,0,0,542,16,3,89,115,38,0
2017,9,5-24 yr,0,0,344,14,2,61,95,38,0
2017,10,5-24 yr,0,0,306,9,2,82,112,55,0
2017,11,5-24 yr,0,0,202,7,2,67,109,43,0
2017,12,5-24 yr,0,0,232,7,0,91,115,47,0
2017,13,5-24 yr,0,0,150,4,1,70,120,74,0
2017,14,5-24 yr,0,0,87,1,0,56,87,52,0
2017,15,5-24 yr,0,0,52,2,0,34,78,33,0
2017,16,5-24 yr,0,0,39,1,0,28,50,20,0
2017,17,5-24 yr,0,0,46,0,1,32,50,9,0
2017,18,5-24 yr,0,0,23,2,0,18,44,10,0
2017,19,5-24 yr,0,0,16,1,0,17,32,10,0
